"","estrato","secu","region","zona_u_r","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_39","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_en","eval_act_pol_1_gj","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_ff","eval_act_pol_1_gf","eval_act_pol_1_fo","eval_act_pol_1_gn","eval_act_pol_1_dh","eval_act_pol_1_ae","eval_act_pol_1_dv","eval_act_pol_1_fe","eval_act_pol_1_ek","eval_act_pol_1_go","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_aa","confianza_6_z","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_y","confianza_6_m","confianza_8_a","rotacion_mtf_82","mtf_82","rotacion_mtf_83","mtf_83","constitucion_6","constitucion_3","constitucion_7","constitucion_8","constitucion_9_a","constitucion_9_b","constitucion_10_a","constitucion_10_b","constitucion_11_a","constitucion_11_b","constitucion_12","constitucion_13_a","constitucion_13_b","constitucion_13_c","constitucion_14","constitucion_15","constitucion_16_a","constitucion_16_b","constitucion_17_a","constitucion_17_b","constitucion_18","mtf_42_b","mtf_42_c","mtf_42_d","mtf_43_b","mtf_81_a","mtf_81_b","mtf_81_c","elec_part_56","elec_pres_143_a","elec_pres_143_b","elec_part_37","elec_pres_144_a","elec_pres_144_b","democracia_19","pobreza_62","iden_nacional_16","educacion_108","educacion_109","sexo","gse","edad","info_enc_61","esc_nivel_1","info_enc_35","info_enc_62","info_enc_38","info_enc_63","info_enc_16_b","religion_82","religion_2","educacion_104_a","elec_parla_35","info_enc_30","pobreza_103_a","pobreza_111","mtf_60","info_hogar_1","info_hogar_2_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_enc_52","info_enc_54","transporte_18","transporte_19","info_hogar_21_n","info_enc_60","encuesta","encuesta_a","encuesta_m","pond"
"837",19,86213,13,1,3,17,8,1,2,2,3,3,3,3,2,99,8,8,6,1,2,6,1,6,6,6,1,2,2,6,4,6,2,2,2,4,4,4,3,2,3,4,1,4,3,4,2,2,4,4,4,3,3,1,3,2,3,1,2,5,2,NA,NA,2,6,NA,NA,2,3,3,3,1,1,NA,NA,NA,NA,2,2,3,3,3,3,3,3,2,NA,66,2,NA,66,10,10,5,4,4,1,4,74,2,1,1,2,1,8,9,1,7,4,99,88,2,3,3,2,2,99,99,8,2,NA,9,9,1,1,86,2022,5,0.37287536
"838",19,86213,13,1,2,1,10,2,3,2,3,2,1,1,1,88,4,2,2,5,5,3,4,6,6,6,6,2,2,6,2,6,4,2,2,3,3,3,3,2,4,3,3,2,3,3,3,4,3,88,2,3,3,1,2,2,3,1,1,1,1,2,88,NA,NA,NA,NA,3,1,1,1,6,1,NA,NA,NA,NA,2,2,3,3,3,3,3,3,1,1,NA,1,1,NA,10,99,1,2,2,2,4,30,2,8,1,1,1,1,9,2,7,5,99,88,2,3,1,5,3,2,99,88,9,NA,9,9,2,1,86,2022,5,0.83205538
"839",19,86213,13,1,1,9,10,2,3,3,2,4,3,2,2,99,1,2,2,1,1,1,2,6,2,6,6,2,2,2,2,6,4,4,2,4,4,4,4,3,2,4,3,4,4,4,4,2,4,4,4,4,4,2,4,1,2,1,2,4,2,NA,NA,6,5,NA,NA,2,1,1,2,1,88,NA,NA,NA,NA,1,2,2,3,4,3,3,3,2,NA,1,1,1,NA,10,10,6,4,4,2,4,43,2,3,2,8,1,1,9,2,7,5,99,88,2,3,3,5,3,2,99,7,2,NA,9,9,2,1,86,2022,5,0.83205538
"840",19,86216,13,1,9,3,26,3,2,3,4,4,3,2,2,99,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,2,4,4,4,2,1,4,4,2,4,4,3,4,3,3,2,4,4,3,2,3,1,1,88,3,5,2,NA,NA,2,2,NA,NA,2,3,3,3,1,1,NA,NA,NA,NA,2,3,3,4,3,3,3,3,2,NA,66,2,NA,66,99,99,1,2,2,2,4,73,2,1,9,8,1,8,9,1,7,99,99,88,2,3,5,3,3,99,99,88,9,NA,9,9,2,1,86,2022,5,1.96679483
"841",19,86213,13,1,10,1,3,1,2,3,8,5,3,2,8,99,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,4,88,88,88,88,88,4,88,3,88,4,4,88,88,4,4,3,4,88,88,4,2,1,2,4,88,1,5,3,NA,NA,NA,NA,2,88,88,3,3,3,88,88,NA,NA,NA,NA,88,3,3,5,5,3,3,3,2,NA,66,2,NA,66,5,10,5,2,2,2,3,62,2,1,2,1,1,1,3,1,8,4,99,888,1,5,4,2,2,99,99,6,2,NA,6,NA,2,1,86,2022,5,0.34527452
"842",19,86213,13,1,1,10,7,1,1,1,1,4,2,3,1,88,4,1,6,6,6,6,6,6,6,6,6,3,6,6,6,6,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,2,4,1,2,88,88,88,1,1,88,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,88,1,1,3,3,1,1,1,2,NA,66,88,NA,88,10,88,1,3,3,1,4,78,2,1,2,7,3,NA,3,9,8,1,99,88,1,5,0,1,1,99,99,6,999,NA,6,NA,2,3,86,2022,5,0.18643768
"843",19,86213,13,1,3,26,5,1,2,1,3,4,1,3,1,99,4,1,6,2,2,6,6,6,6,6,6,2,6,6,6,6,1,3,4,3,4,3,4,88,3,2,4,3,4,4,4,88,4,3,3,2,4,1,4,2,4,1,2,2,1,3,3,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,5,1,1,1,1,3,3,3,2,NA,66,2,NA,66,10,1,1,1,1,2,4,44,2,3,2,6,3,NA,3,1,8,3,99,88,1,5,2,2,2,0,0,4,2,NA,1,4,2,1,86,2022,5,0.55470358
"844",19,86213,13,1,1,10,6,1,2,1,3,4,2,2,3,99,3,3,2,3,2,3,2,6,6,3,6,4,3,6,6,6,2,2,2,4,3,3,3,3,4,4,3,3,4,4,4,2,4,1,4,3,4,1,3,2,88,2,2,1,3,NA,NA,NA,NA,3,88,2,1,1,1,4,1,NA,NA,NA,NA,1,1,1,3,5,3,3,3,2,NA,66,88,NA,66,10,5,3,2,2,1,3,45,2,4,2,3,3,NA,2,1,7,4,77,88,1,5,1,3,3,0,0,8,2,NA,6,NA,2,1,86,2022,5,0.92303957
"845",6,86033,5,1,14,5,1,3,2,3,3,4,3,2,1,5,4,2,4,3,4,4,4,6,8,6,3,4,3,4,3,6,2,2,99,2,2,4,3,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,4,2,3,1,2,2,3,NA,NA,NA,NA,3,88,2,3,2,1,7,1,NA,NA,NA,NA,2,2,1,2,4,3,3,3,1,1,NA,1,1,NA,10,8,5,2,2,1,2,79,2,8,2,7,1,7,3,1,8,5,88,88,3,3,2,2,2,0,0,8,2,NA,6,NA,1,1,86,2022,5,0.50433088
"846",6,86035,5,1,1,16,10,3,1,3,2,3,2,2,1,5,4,3,4,3,3,4,4,3,3,3,4,2,1,2,1,6,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,3,1,1,1,1,5,3,NA,NA,NA,NA,5,7,2,4,3,3,6,1,NA,NA,NA,NA,3,3,3,2,3,3,3,3,1,1,NA,1,1,NA,9,8,6,2,2,2,3,67,2,3,2,8,1,1,1,1,3,3,88,88,3,3,2,5,4,1,0,99,1,NA,6,NA,2,1,86,2022,5,0.95304792
